trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.005, 'e': 0.5066169923655895}",25,10,15.563971272965732,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.005, 'e': 0.5040902295748255}",20,0,-82.78515346386776,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
138,False,"{'a': 0.005, 'e': 0.5015760690660555}",20,10,-90.29811508721221,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
139,False,"{'a': 0.005, 'e': 0.49907444798513595}",25,9,-8.051589411397556,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
140,False,"{'a': 0.005, 'e': 0.49658530379140947}",25,10,5.400033479134376,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.005, 'e': 0.4941085742561417}",25,7,-39.183379829318575,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
142,False,"{'a': 0.005, 'e': 0.4916441974609651}",20,7,-4.216071046925593,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.005, 'e': 0.48919211179633154}",20,0,-92.54257351458561,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
144,False,"{'a': 0.005, 'e': 0.4867522559599717}",20,0,-68.1496375596707,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
145,False,"{'a': 0.005, 'e': 0.48432456895536247}",20,0,-77.25255949942598,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
146,False,"{'a': 0.005, 'e': 0.48190899009020244}",25,16,15.902287784248298,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.005, 'e': 0.4795054589748941}",20,0,-8.065649793581178,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
148,False,"{'a': 0.005, 'e': 0.4771139155210344}",20,0,-46.78929791166115,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
149,False,"{'a': 0.005, 'e': 0.4747342999399124}",20,9,-37.736268667139996,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
150,False,"{'a': 0.005, 'e': 0.4723665527410147}",25,0,-40.56869553025811,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
151,False,"{'a': 0.005, 'e': 0.47001061473053796}",30,9,-20.75121835630605,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
152,False,"{'a': 0.005, 'e': 0.46766642700990924}",25,0,-10.251919698439265,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
153,False,"{'a': 0.005, 'e': 0.4653339309743134}",20,15,9.108758978318097,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.005, 'e': 0.46301306831122807}",20,4,-32.34969151323966,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 0}",1
155,False,"{'a': 0.005, 'e': 0.4607037809989658}",35,0,-66.6061979122195,"{0: 29, 1: 1, 2: 3, 3: 1, 4: 1}",0
156,False,"{'a': 0.005, 'e': 0.4584060113052235}",20,6,-2.09209589372583,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.005, 'e': 0.4561197017856392}",30,8,-42.412887725581555,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
158,False,"{'a': 0.005, 'e': 0.45384479528235583}",20,6,0.46635450105451826,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.005, 'e': 0.4515812349225922}",20,7,10.458415712633075,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.005, 'e': 0.44932896411722156}",25,0,-56.190620780149025,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
161,False,"{'a': 0.005, 'e': 0.4470879265593564}",30,6,-21.41912591617438,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
162,False,"{'a': 0.005, 'e': 0.4448580662229411}",35,0,11.712729586914733,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
163,False,"{'a': 0.005, 'e': 0.4426393273613511}",20,15,2.7526162515238566,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.005, 'e': 0.44043165450599925}",20,0,-40.02296966033184,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
165,False,"{'a': 0.005, 'e': 0.4382349924649492}",35,0,-87.03391236122323,"{0: 29, 1: 0, 2: 3, 3: 1, 4: 2}",0
166,False,"{'a': 0.005, 'e': 0.43604928632153556}",25,15,-18.705346474046895,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
167,False,"{'a': 0.005, 'e': 0.4338744814329909}",20,0,-61.585999309122414,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
168,False,"{'a': 0.005, 'e': 0.43171052342907973}",25,0,-11.224819774914044,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
169,False,"{'a': 0.005, 'e': 0.42955735821073915}",20,0,-197.27351824589996,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
170,False,"{'a': 0.005, 'e': 0.4274149319487267}",20,1,-38.06299847236498,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.005, 'e': 0.42528319108227414}",20,3,-38.34025240707129,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
172,False,"{'a': 0.005, 'e': 0.4231620823177488}",20,0,-32.09112551436386,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
173,False,"{'a': 0.005, 'e': 0.4210515526273212}",30,0,-22.395908120461733,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
174,False,"{'a': 0.005, 'e': 0.418951549247639}",20,0,-100.06780399405817,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
175,False,"{'a': 0.005, 'e': 0.4168620196785084}",20,3,-35.37685041134504,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.005, 'e': 0.4147829116815814}",20,0,-17.817561130074413,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
177,False,"{'a': 0.005, 'e': 0.4127141732790497}",30,20,17.74576038289389,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.005, 'e': 0.4106557527523455}",30,12,-11.497979287589807,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
179,False,"{'a': 0.005, 'e': 0.40860759864084845}",20,0,-47.18374535426487,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
180,False,"{'a': 0.005, 'e': 0.4065696597405991}",30,9,9.572465735465556,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.005, 'e': 0.4045418851030188}",20,0,-21.314007372348442,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
